Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Chart-1 (9:28),0.33,0.39,0.00,0.32,0.12
Chart-4 (8:3),0.67,0.75,0.82,0.00,0.22
Chart-5 (0:4),0.00,0.00,0.00,0.00,0.00
Chart-7 (4:36),0.67,1.00,0.00,0.00,0.00
Chart-8 (2:1),0.50,0.80,0.80,0.80,0.67
Chart-9 (4:12),0.40,0.40,0.40,0.00,0.62
Chart-11 (6:1),0.60,0.92,0.92,0.92,0.00
Chart-12 (1:2),0.00,0.67,0.50,0.50,0.00
Chart-13 (0:10),0.00,0.00,0.00,0.00,0.00
Chart-15 (0:4),0.00,0.00,0.00,0.00,0.00
Chart-17 (0:1),0.00,0.00,0.00,0.00,0.00
Chart-18 (0:1),0.00,0.00,0.00,0.00,0.00
Chart-20 (3:0),1.00,1.00,1.00,1.00,1.00
Chart-24 (3:0),0.00,1.00,0.00,1.00,0.00
Chart-25 (0:13),0.00,0.00,0.00,0.00,0.00
Chart-26 (6:5),0.86,0.92,0.33,0.00,0.80
Closure-2 (1:2),0.00,0.50,0.50,0.50,0.00
Closure-10 (1:2),0.00,0.50,0.50,1.00,0.00
Closure-13 (3:2),1.00,0.75,0.75,0.00,0.00
Closure-14 (1:0),1.00,1.00,0.00,0.00,0.00
Closure-19 (0:1),0.00,0.00,0.00,0.00,0.00
Closure-21 (0:5),0.00,0.00,0.00,0.00,0.00
Closure-22 (0:1),0.00,0.00,0.00,0.00,0.00
Closure-46 (4:6),0.40,0.57,0.57,0.67,0.00
Closure-48 (0:1),0.00,0.00,0.00,0.00,0.00
Closure-57 (3:2),0.75,0.75,0.75,0.00,0.00
Closure-62 (5:15),0.42,0.40,0.40,0.00,0.25
Closure-73 (3:2),0.75,0.75,0.75,0.50,0.80
Closure-86 (2:6),0.40,0.40,0.40,0.00,0.00
Closure-115 (1:1),0.67,0.67,0.00,0.67,0.00
Closure-126 (5:14),0.13,0.42,0.00,0.20,0.00
Closure-129 (0:2),0.00,0.00,0.00,0.00,0.00
Lang-6 (1:0),1.00,1.00,1.00,1.00,1.00
Lang-10 (4:7),0.67,0.53,0.53,0.40,0.00
Lang-33 (4:11),0.29,0.42,0.42,0.44,0.29
Lang-43 (4:7),0.33,0.53,0.53,0.40,0.50
Lang-44 (0:4),0.00,0.00,0.00,0.00,0.00
Lang-45 (1:4),0.40,0.33,0.33,0.00,0.67
Lang-46 (0:1),0.00,0.00,0.00,0.00,0.00
Lang-51 (1:15),0.00,0.12,0.12,0.00,0.00
Lang-55 (5:8),0.62,0.33,0.56,0.00,0.56
Lang-57 (5:5),0.00,0.67,0.00,0.91,0.00
Lang-58 (1:54),0.07,0.05,0.04,0.00,0.00
Lang-59 (5:27),0.89,0.83,0.00,0.80,0.08
Lang-63 (0:2),0.00,0.00,0.00,0.00,0.00
Math-2 (1:3),0.50,0.00,0.40,1.00,0.00
Math-5 (3:0),0.50,1.00,1.00,0.00,0.00
Math-6 (0:2),0.00,0.00,0.00,0.00,0.00
Math-7 (0:1),0.00,0.00,0.00,0.00,0.00
Math-8 (1:5),0.67,1.00,0.00,1.00,0.00
Math-11 (4:4),0.22,0.67,0.67,0.67,0.00
Math-15 (0:1),0.00,0.00,0.00,0.00,0.00
Math-20 (0:1),0.00,0.00,0.00,0.00,0.00
Math-28 (0:16),0.00,0.00,0.00,0.00,0.00
Math-30 (5:9),0.40,0.47,0.53,0.73,0.00
Math-32 (0:6),0.00,0.00,0.00,0.00,0.00
Math-33 (3:97),0.06,0.08,0.19,0.00,0.00
Math-34 (2:4),0.00,0.50,0.50,0.00,0.67
Math-41 (3:4),0.60,0.00,0.60,0.00,0.00
Math-42 (0:1),0.00,0.00,0.00,0.00,0.00
Math-49 (0:4),0.00,0.00,0.00,0.00,0.00
Math-50 (10:76),0.03,0.21,0.29,0.35,0.22
Math-53 (2:3),0.80,0.40,0.57,0.33,0.67
Math-57 (3:5),0.60,0.55,0.67,0.40,0.00
Math-58 (2:18),0.13,0.19,0.00,1.00,0.00
Math-59 (3:3),0.50,0.67,0.67,0.50,0.00
Math-62 (0:4),0.00,0.00,0.00,0.00,0.00
Math-63 (0:4),0.00,0.00,0.00,0.00,0.00
Math-64 (0:1),0.00,0.00,0.00,0.00,0.00
Math-65 (1:0),1.00,0.00,0.00,1.00,0.00
Math-69 (1:1),0.67,1.00,0.00,1.00,1.00
Math-70 (5:2),0.75,0.73,0.83,0.89,0.80
Math-71 (0:1),0.00,0.00,0.00,0.00,0.00
Math-73 (0:2),0.00,0.00,0.00,0.00,0.00
Math-75 (4:0),0.67,1.00,1.00,0.00,0.40
Math-79 (3:6),0.50,0.50,0.00,0.40,0.00
Math-80 (2:48),0.20,0.80,0.08,0.00,0.00
Math-81 (0:7),0.00,0.00,0.00,0.00,0.00
Math-82 (4:18),0.46,0.32,0.00,0.46,0.00
Math-84 (0:5),0.00,0.00,0.00,0.00,0.00
Math-85 (6:57),0.22,0.16,0.00,0.00,0.33
Math-88 (0:2),0.00,0.00,0.00,0.00,0.00
Math-89 (3:0),1.00,1.00,1.00,0.00,1.00
Math-95 (1:7),0.40,0.67,0.00,0.00,0.00
Math-96 (0:1),0.00,0.00,0.00,0.00,0.00
Math-97 (0:1),0.00,0.00,0.00,0.00,0.00
Math-101 (0:4),0.00,0.00,0.00,0.00,0.00
Math-105 (0:1),0.00,0.00,0.00,0.00,0.00
Mockito-29 (3:6),0.40,0.55,0.50,0.00,0.00
Mockito-38 (5:1),0.80,0.80,0.91,0.00,0.33
Time-7 (4:6),0.50,0.57,0.00,0.80,0.73
Time-11 (0:1),0.00,0.00,0.00,0.00,0.00
Overall,0.30,0.36,0.25,0.25,0.15
