Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Chart-1 (9:28),0.29,-0.00,0.00,0.01,-0.14
Chart-4 (8:3),-0.04,0.08,0.24,-0.00,0.19
Chart-5 (0:4),0.50,-0.50,0.50,0.00,-0.00
Chart-7 (4:36),0.67,1.00,0.00,-0.18,-0.54
Chart-8 (2:1),-0.50,0.00,0.00,0.00,0.50
Chart-9 (4:12),0.08,-0.00,-0.00,0.00,0.51
Chart-11 (6:1),-0.35,0.00,0.00,0.00,-0.00
Chart-12 (1:2),0.00,0.50,-0.00,-0.00,0.00
Chart-13 (0:10),-0.00,-0.50,-0.50,0.50,-0.00
Chart-15 (0:4),0.00,-0.50,0.00,0.50,0.50
Chart-17 (0:1),-0.50,-0.50,-0.50,0.50,0.50
Chart-18 (0:1),-0.50,0.50,-0.50,0.50,0.50
Chart-20 (3:0),0.50,0.50,0.50,0.50,0.50
Chart-24 (3:0),-0.50,0.50,-0.50,0.50,-0.50
Chart-25 (0:13),0.00,-0.50,-0.50,0.50,-0.00
Chart-26 (6:5),0.67,0.83,-0.47,-0.00,0.52
Closure-2 (1:2),-1.00,-0.00,-0.00,-0.00,0.00
Closure-10 (1:2),0.00,-0.00,-0.00,1.00,-0.50
Closure-13 (3:2),1.00,0.00,0.00,-0.00,-1.00
Closure-14 (1:0),0.50,0.50,-0.50,-0.50,-0.50
Closure-19 (0:1),-0.50,-0.50,-0.50,0.50,-0.50
Closure-21 (0:5),0.00,-0.50,0.50,0.50,0.00
Closure-22 (0:1),0.50,-0.50,0.50,0.50,-0.50
Closure-46 (4:6),-0.17,-0.00,-0.00,0.61,-0.41
Closure-48 (0:1),-0.50,-0.50,-0.50,0.50,-0.50
Closure-57 (3:2),0.00,0.00,0.00,-0.00,-0.00
Closure-62 (5:15),0.13,-0.00,-0.00,-0.29,-0.17
Closure-73 (3:2),0.00,0.00,0.00,0.41,0.67
