Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness,RSB
Chart-1 (9:28),2.00,29.00,N/A,13.00,8.00,7.00
Chart-4 (8:3),3.00,3.00,3.00,N/A,1.00,2.00
Chart-7 (4:36),5.00,1.00,N/A,N/A,N/A,15.00
Chart-8 (2:1),2.00,2.00,2.00,2.00,1.00,2.00
Chart-9 (4:12),9.00,13.00,13.00,N/A,6.00,6.00
Chart-11 (6:1),2.00,2.00,2.00,2.00,N/A,1.00
Chart-12 (1:2),N/A,2.00,3.00,3.00,N/A,3.00
Chart-20 (3:0),1.00,1.00,1.00,1.00,1.00,1.00
Chart-24 (3:0),N/A,1.00,N/A,1.00,N/A,1.00
Chart-26 (6:5),3.00,2.00,5.00,N/A,4.00,3.00
Closure-2 (1:2),N/A,3.00,3.00,3.00,N/A,3.00
Closure-10 (1:2),N/A,3.00,3.00,1.00,N/A,3.00
Closure-13 (3:2),1.00,3.00,3.00,N/A,N/A,2.00
Closure-14 (1:0),1.00,1.00,N/A,N/A,N/A,1.00
Closure-46 (4:6),5.00,7.00,7.00,1.00,N/A,4.00
Closure-57 (3:2),3.00,3.00,3.00,N/A,N/A,2.00
Closure-62 (5:15),11.00,16.00,16.00,N/A,10.00,6.00
Closure-73 (3:2),3.00,3.00,3.00,1.00,1.00,2.00
Closure-86 (2:6),7.00,7.00,7.00,N/A,N/A,5.00
Closure-115 (1:1),2.00,2.00,N/A,2.00,N/A,2.00
Closure-126 (5:14),10.00,15.00,N/A,5.00,N/A,6.00
Lang-6 (1:0),1.00,1.00,1.00,1.00,1.00,1.00
Lang-10 (4:7),3.00,8.00,8.00,1.00,N/A,4.00
Lang-33 (4:11),9.00,12.00,12.00,4.00,9.00,6.00
Lang-43 (4:7),2.00,8.00,8.00,1.00,3.00,4.00
Lang-45 (1:4),4.00,5.00,5.00,N/A,2.00,5.00
Lang-51 (1:15),N/A,16.00,16.00,N/A,N/A,14.00
Lang-55 (5:8),7.00,1.00,9.00,N/A,9.00,4.00
Lang-57 (5:5),N/A,6.00,N/A,2.00,N/A,3.00
Lang-58 (1:54),28.00,37.00,55.00,N/A,N/A,47.00
Lang-59 (5:27),1.00,3.00,N/A,2.00,21.00,10.00
Math-2 (1:3),3.00,N/A,4.00,1.00,N/A,4.00
Math-5 (3:0),1.00,1.00,1.00,N/A,N/A,1.00
Math-8 (1:5),2.00,1.00,N/A,1.00,N/A,6.00
Math-11 (4:4),5.00,5.00,5.00,5.00,N/A,3.00
Math-30 (5:9),8.00,9.00,10.00,3.00,N/A,4.00
Math-33 (3:97),96.00,68.00,27.00,N/A,N/A,47.00
Math-34 (2:4),N/A,5.00,5.00,N/A,3.00,4.00
Math-41 (3:4),5.00,N/A,5.00,N/A,N/A,3.00
Math-50 (10:76),55.00,76.00,51.00,34.00,23.00,15.00
Math-53 (2:3),2.00,3.00,4.00,4.00,1.00,3.00
Math-57 (3:5),5.00,6.00,4.00,2.00,N/A,4.00
Math-58 (2:18),13.00,18.00,N/A,1.00,N/A,12.00
Math-59 (3:3),4.00,4.00,4.00,4.00,N/A,3.00
Math-65 (1:0),1.00,N/A,N/A,1.00,N/A,1.00
Math-69 (1:1),2.00,1.00,N/A,1.00,1.00,2.00
Math-70 (5:2),1.00,3.00,3.00,1.00,2.00,2.00
Math-75 (4:0),1.00,1.00,1.00,N/A,1.00,1.00
Math-79 (3:6),7.00,7.00,N/A,6.00,N/A,4.00
Math-80 (2:48),8.00,2.00,49.00,N/A,N/A,31.00
Math-82 (4:18),7.00,18.00,N/A,7.00,N/A,8.00
Math-85 (6:57),35.00,29.00,N/A,N/A,10.00,17.00
Math-89 (3:0),1.00,1.00,1.00,N/A,1.00,1.00
Math-95 (1:7),4.00,2.00,N/A,N/A,N/A,7.00
Mockito-29 (3:6),6.00,6.00,7.00,N/A,N/A,4.00
Mockito-38 (5:1),2.00,2.00,2.00,N/A,1.00,2.00
Time-7 (4:6),6.00,7.00,N/A,3.00,4.00,4.00
Overall,8.10,9.09,9.28,3.64,5.17,6.46
