Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness,RSB
Chart-1 (25:20),2.00,5.00,N/A,N/A,N/A,4.00
Chart-7 (5:85),3.00,1.00,N/A,N/A,N/A,40.00
Chart-8 (5:0),N/A,1.00,1.00,1.00,1.00,1.00
Chart-9 (5:50),N/A,11.00,11.00,N/A,4.00,24.00
Chart-11 (10:0),1.00,1.00,1.00,1.00,N/A,1.00
Chart-20 (5:0),1.00,1.00,1.00,1.00,1.00,1.00
Chart-24 (15:0),N/A,1.00,N/A,1.00,N/A,1.00
Closure-14 (5:0),1.00,1.00,N/A,N/A,N/A,1.00
Closure-46 (15:25),4.00,6.00,6.00,1.00,N/A,6.00
Closure-57 (10:10),3.00,3.00,3.00,N/A,N/A,4.00
Closure-62 (15:60),8.00,13.00,13.00,N/A,10.00,13.00
Closure-73 (10:0),1.00,1.00,1.00,1.00,1.00,1.00
Closure-86 (5:0),1.00,1.00,1.00,N/A,N/A,1.00
Closure-126 (25:70),10.00,15.00,N/A,5.00,N/A,10.00
Lang-33 (15:10),2.00,3.00,3.00,3.00,3.00,4.00
Lang-43 (10:5),1.00,2.00,2.00,1.00,1.00,3.00
Lang-55 (25:40),7.00,1.00,9.00,N/A,9.00,6.00
Lang-57 (25:25),N/A,6.00,N/A,2.00,N/A,5.00
Lang-58 (5:260),27.00,35.00,53.00,N/A,N/A,119.00
Lang-59 (20:125),1.00,1.00,N/A,1.00,N/A,19.00
Math-5 (5:0),1.00,1.00,1.00,N/A,N/A,1.00
Math-30 (20:30),5.00,6.00,7.00,3.00,N/A,6.00
Math-33 (15:105),21.00,19.00,16.00,N/A,N/A,21.00
Math-34 (10:0),N/A,1.00,1.00,N/A,1.00,1.00
Math-50 (35:275),N/A,56.00,32.00,27.00,17.00,25.00
Math-53 (5:10),1.00,3.00,3.00,N/A,1.00,6.00
Math-57 (5:5),1.00,2.00,1.00,N/A,N/A,4.00
Math-58 (5:90),N/A,18.00,N/A,1.00,N/A,42.00
Math-59 (10:0),1.00,1.00,1.00,1.00,N/A,1.00
Math-65 (5:0),1.00,N/A,N/A,1.00,N/A,1.00
Math-70 (15:10),1.00,3.00,3.00,1.00,2.00,4.00
Math-75 (15:0),1.00,1.00,1.00,N/A,N/A,1.00
Math-79 (5:15),4.00,4.00,N/A,N/A,N/A,9.00
Math-82 (5:15),1.00,4.00,N/A,N/A,N/A,9.00
Math-85 (5:45),4.00,N/A,N/A,N/A,3.00,22.00
Math-89 (15:0),1.00,1.00,1.00,N/A,1.00,1.00
Mockito-29 (10:25),5.00,6.00,6.00,N/A,N/A,8.00
Mockito-38 (20:0),1.00,1.00,1.00,N/A,N/A,1.00
Time-7 (10:20),4.00,5.00,N/A,1.00,3.00,7.00
Overall,3.94,6.51,6.88,2.94,3.87,11.13
