Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Chart-1 (25:20),0.16,0.00,-0.00,-0.00,-0.00
Chart-5 (0:20),0.50,-0.50,0.50,0.00,-0.00
Chart-7 (5:85),0.54,1.00,0.00,-0.09,-0.34
Chart-8 (5:0),-0.50,0.50,0.50,0.50,0.50
Chart-9 (5:50),-0.35,-0.00,-0.00,0.00,0.42
Chart-11 (10:0),0.50,0.50,0.50,0.50,-0.50
Chart-12 (0:5),0.50,0.50,-0.50,-0.50,0.50
Chart-13 (0:10),0.00,-0.50,-0.50,0.50,0.00
Chart-15 (0:20),0.00,-0.50,0.00,0.50,0.50
Chart-17 (0:5),-0.50,-0.50,-0.50,0.50,0.50
Chart-18 (0:5),-0.50,0.50,-0.50,0.50,0.50
Chart-20 (5:0),0.50,0.50,0.50,0.50,0.50
Chart-24 (15:0),-0.50,0.50,-0.50,0.50,-0.50
Chart-25 (0:65),0.00,-0.50,-0.50,0.50,-0.00
Chart-26 (0:10),0.50,0.50,0.00,0.50,0.50
Closure-10 (0:5),0.50,-0.50,-0.50,0.50,-0.50
Closure-13 (0:10),0.50,-0.50,-0.50,0.50,-0.50
Closure-14 (5:0),0.50,0.50,-0.50,-0.50,-0.50
Closure-19 (0:5),-0.50,-0.50,-0.50,0.50,-0.50
Closure-21 (0:15),-0.00,-0.50,0.50,0.50,0.00
Closure-22 (0:5),0.50,-0.50,0.50,0.50,-0.50
Closure-46 (15:25),0.07,-0.00,-0.00,0.75,-0.45
Closure-48 (0:5),-0.50,-0.50,-0.50,0.50,-0.50
Closure-57 (10:10),0.00,0.00,0.00,0.00,0.00
Closure-62 (15:60),0.07,-0.00,-0.00,-0.30,-0.08
Closure-73 (10:0),0.50,0.50,0.50,0.00,0.50
Closure-86 (5:0),0.50,0.50,0.50,-0.50,-0.50
Closure-115 (0:5),-0.50,-0.50,0.50,-0.50,0.50
Closure-126 (25:70),-0.39,-0.00,0.00,-0.09,0.00
Closure-129 (0:10),0.00,-0.50,-0.50,0.50,0.00
Lang-10 (0:15),0.50,-0.50,-0.50,0.50,-0.50
Lang-33 (15:10),0.17,0.00,0.00,-0.67,-0.41
Lang-43 (10:5),0.50,0.00,0.00,0.50,1.00
Lang-44 (0:20),-0.00,-0.50,-0.50,0.50,0.50
Lang-45 (0:5),0.50,-0.50,-0.50,0.50,-0.50
