Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness,RSB
Chart-1 (40:105),2.00,22.00,N/A,8.00,N/A,6.00
Chart-4 (25:5),1.00,1.00,2.00,N/A,N/A,2.00
Chart-7 (5:170),3.00,1.00,N/A,N/A,N/A,55.00
Chart-8 (5:0),N/A,1.00,1.00,1.00,1.00,1.00
Chart-9 (5:50),N/A,11.00,11.00,N/A,4.00,17.00
Chart-11 (15:0),1.00,1.00,1.00,1.00,N/A,1.00
Chart-20 (10:0),1.00,1.00,1.00,1.00,1.00,1.00
Chart-24 (15:0),N/A,1.00,N/A,1.00,N/A,1.00
Closure-2 (5:10),N/A,3.00,3.00,3.00,N/A,5.00
Closure-14 (5:0),1.00,1.00,N/A,N/A,N/A,1.00
Closure-46 (20:30),5.00,7.00,7.00,1.00,N/A,4.00
Closure-57 (10:10),3.00,3.00,3.00,N/A,N/A,3.00
Closure-62 (20:70),10.00,15.00,15.00,N/A,10.00,8.00
Closure-73 (10:0),1.00,1.00,1.00,1.00,1.00,1.00
Closure-86 (5:0),1.00,1.00,1.00,N/A,N/A,1.00
Closure-126 (25:70),10.00,15.00,N/A,5.00,N/A,7.00
Lang-6 (5:0),1.00,1.00,1.00,1.00,1.00,1.00
Lang-10 (15:35),3.00,8.00,8.00,N/A,N/A,6.00
Lang-33 (15:10),2.00,3.00,3.00,3.00,3.00,2.00
Lang-43 (10:10),2.00,3.00,3.00,1.00,2.00,3.00
Lang-55 (25:40),7.00,1.00,9.00,N/A,9.00,4.00
Lang-57 (25:25),N/A,6.00,N/A,2.00,N/A,3.00
Lang-58 (5:265),27.00,36.00,54.00,N/A,N/A,85.00
Lang-59 (20:125),1.00,1.00,N/A,1.00,N/A,13.00
Math-5 (15:0),1.00,1.00,1.00,N/A,N/A,1.00
Math-11 (15:0),N/A,1.00,1.00,1.00,N/A,1.00
Math-30 (20:30),5.00,6.00,7.00,3.00,N/A,4.00
Math-33 (15:485),96.00,68.00,27.00,N/A,N/A,59.00
Math-34 (10:0),N/A,1.00,1.00,N/A,1.00,1.00
Math-50 (45:365),N/A,74.00,48.00,34.00,20.00,16.00
Math-53 (5:10),1.00,3.00,3.00,N/A,1.00,5.00
Math-57 (10:10),2.00,3.00,2.00,2.00,N/A,3.00
Math-58 (5:90),N/A,18.00,N/A,1.00,N/A,30.00
Math-59 (10:0),1.00,1.00,1.00,1.00,N/A,1.00
Math-65 (5:0),1.00,N/A,N/A,1.00,N/A,1.00
Math-70 (15:10),1.00,3.00,3.00,1.00,2.00,2.00
Math-75 (15:0),1.00,1.00,1.00,N/A,N/A,1.00
Math-79 (5:15),4.00,4.00,N/A,N/A,N/A,6.00
Math-80 (5:235),8.00,1.00,48.00,N/A,N/A,76.00
Math-82 (15:85),7.00,17.00,N/A,6.00,N/A,12.00
Math-85 (20:255),29.00,28.00,N/A,N/A,4.00,25.00
Math-89 (15:0),1.00,1.00,1.00,N/A,1.00,1.00
Mockito-29 (10:25),5.00,6.00,6.00,N/A,N/A,6.00
Mockito-38 (20:0),1.00,1.00,1.00,N/A,N/A,1.00
Time-7 (20:20),4.00,5.00,N/A,1.00,3.00,3.00
Overall,6.94,8.80,8.59,3.38,4.00,10.80
