Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Chart-1 (5:4),0.50,0.71,0.00,0.00,0.00
Chart-5 (0:4),0.00,0.00,0.00,0.00,0.00
Chart-7 (1:17),0.50,1.00,0.00,0.00,0.00
Chart-8 (1:0),0.00,1.00,1.00,1.00,1.00
Chart-9 (1:10),0.00,0.17,0.17,0.00,0.40
Chart-11 (2:0),1.00,1.00,1.00,1.00,0.00
Chart-12 (0:1),0.00,0.00,0.00,0.00,0.00
Chart-13 (0:2),0.00,0.00,0.00,0.00,0.00
Chart-15 (0:4),0.00,0.00,0.00,0.00,0.00
Chart-17 (0:1),0.00,0.00,0.00,0.00,0.00
Chart-18 (0:1),0.00,0.00,0.00,0.00,0.00
Chart-20 (1:0),1.00,1.00,1.00,1.00,1.00
Chart-24 (3:0),0.00,1.00,0.00,1.00,0.00
Chart-25 (0:13),0.00,0.00,0.00,0.00,0.00
Chart-26 (0:2),0.00,0.00,0.00,0.00,0.00
Closure-10 (0:1),0.00,0.00,0.00,0.00,0.00
Closure-13 (0:2),0.00,0.00,0.00,0.00,0.00
Closure-14 (1:0),1.00,1.00,0.00,0.00,0.00
Closure-19 (0:1),0.00,0.00,0.00,0.00,0.00
Closure-21 (0:3),0.00,0.00,0.00,0.00,0.00
Closure-22 (0:1),0.00,0.00,0.00,0.00,0.00
Closure-46 (3:5),0.50,0.55,0.55,0.80,0.00
Closure-48 (0:1),0.00,0.00,0.00,0.00,0.00
Closure-57 (2:2),0.67,0.67,0.67,0.00,0.00
Closure-62 (3:12),0.33,0.33,0.33,0.00,0.29
Closure-73 (2:0),1.00,1.00,1.00,0.67,1.00
Closure-86 (1:0),1.00,1.00,1.00,0.00,0.00
Closure-115 (0:1),0.00,0.00,0.00,0.00,0.00
Closure-126 (5:14),0.13,0.42,0.00,0.20,0.00
Closure-129 (0:2),0.00,0.00,0.00,0.00,0.00
Lang-10 (0:3),0.00,0.00,0.00,0.00,0.00
Lang-33 (3:2),0.67,0.75,0.75,0.33,0.57
Lang-43 (2:1),0.67,0.80,0.80,0.67,1.00
Lang-44 (0:4),0.00,0.00,0.00,0.00,0.00
Lang-45 (0:1),0.00,0.00,0.00,0.00,0.00
Lang-46 (0:1),0.00,0.00,0.00,0.00,0.00
Lang-51 (0:9),0.00,0.00,0.00,0.00,0.00
Lang-55 (5:8),0.62,0.33,0.56,0.00,0.56
Lang-57 (5:5),0.00,0.67,0.00,0.91,0.00
Lang-58 (1:52),0.07,0.06,0.04,0.00,0.00
Lang-59 (4:25),1.00,1.00,0.00,1.00,0.00
Lang-63 (0:1),0.00,0.00,0.00,0.00,0.00
Math-2 (0:2),0.00,0.00,0.00,0.00,0.00
Math-5 (1:0),1.00,1.00,1.00,0.00,0.00
Math-6 (0:2),0.00,0.00,0.00,0.00,0.00
Math-7 (0:1),0.00,0.00,0.00,0.00,0.00
Math-8 (0:4),0.00,0.00,0.00,0.00,0.00
Math-20 (0:1),0.00,0.00,0.00,0.00,0.00
Math-28 (0:6),0.00,0.00,0.00,0.00,0.00
Math-30 (4:6),0.40,0.50,0.57,0.80,0.00
Math-32 (0:2),0.00,0.00,0.00,0.00,0.00
Math-33 (3:21),0.23,0.25,0.29,0.00,0.00
Math-34 (2:0),0.00,1.00,1.00,0.00,1.00
Math-41 (0:4),0.00,0.00,0.00,0.00,0.00
Math-42 (0:1),0.00,0.00,0.00,0.00,0.00
Math-49 (0:4),0.00,0.00,0.00,0.00,0.00
Math-50 (7:55),0.00,0.20,0.31,0.35,0.23
Math-53 (1:2),1.00,0.50,0.50,0.00,1.00
Math-57 (1:1),1.00,0.67,1.00,0.00,0.00
Math-58 (1:18),0.00,0.11,0.00,1.00,0.00
Math-59 (2:0),0.67,1.00,1.00,0.67,0.00
Math-62 (0:4),0.00,0.00,0.00,0.00,0.00
Math-63 (0:3),0.00,0.00,0.00,0.00,0.00
Math-65 (1:0),1.00,0.00,0.00,1.00,0.00
Math-69 (0:1),0.00,0.00,0.00,0.00,0.00
Math-70 (3:2),0.50,0.57,0.75,0.80,0.67
Math-71 (0:1),0.00,0.00,0.00,0.00,0.00
Math-73 (0:2),0.00,0.00,0.00,0.00,0.00
Math-75 (3:0),0.50,1.00,1.00,0.00,0.00
Math-79 (1:3),0.40,0.40,0.00,0.00,0.00
Math-80 (0:25),0.00,0.00,0.00,0.00,0.00
Math-81 (0:6),0.00,0.00,0.00,0.00,0.00
Math-82 (1:3),1.00,0.40,0.00,0.00,0.00
Math-84 (0:3),0.00,0.00,0.00,0.00,0.00
Math-85 (1:9),0.40,0.00,0.00,0.00,0.50
Math-88 (0:2),0.00,0.00,0.00,0.00,0.00
Math-89 (3:0),1.00,1.00,1.00,0.00,1.00
Math-95 (0:4),0.00,0.00,0.00,0.00,0.00
Math-96 (0:1),0.00,0.00,0.00,0.00,0.00
Math-97 (0:1),0.00,0.00,0.00,0.00,0.00
Math-101 (0:1),0.00,0.00,0.00,0.00,0.00
Math-105 (0:1),0.00,0.00,0.00,0.00,0.00
Mockito-29 (2:5),0.29,0.44,0.44,0.00,0.00
Mockito-38 (4:0),0.86,0.86,1.00,0.00,0.00
Time-7 (2:4),0.33,0.50,0.00,1.00,0.67
Time-11 (0:1),0.00,0.00,0.00,0.00,0.00
Overall,0.25,0.29,0.22,0.17,0.13
