Approach,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Avatar (10:39),0.01,0.03,-0.06,0.30,-0.07
FixMiner (10:12),-0.04,0.10,0.02,0.55,0.04
Nopol (0:54),-0.00,-0.00,-0.00,0.00,0.00
SimFix (26:22),0.09,0.41,0.05,0.04,0.16
TBar (23:63),-0.05,0.12,0.04,0.31,-0.01
dynamoth (7:55),0.05,-0.26,0.09,0.11,0.12
jGenProg (1:58),-0.03,0.17,-0.09,-0.04,-0.14
jKali (3:33),-0.07,0.29,-0.26,0.00,-0.21
jMutRepair (4:16),0.22,0.05,-0.29,0.00,-0.25
kPAR (10:76),-0.20,0.23,0.14,0.54,0.16
Overall,-0.00,0.12,-0.04,0.18,-0.02
