Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Chart-1 (5:4),0.16,0.00,-0.00,-0.00,-0.00
Chart-5 (0:4),0.50,-0.50,0.50,0.00,-0.00
Chart-7 (1:17),0.54,1.00,0.00,-0.09,-0.34
Chart-8 (1:0),-0.50,0.50,0.50,0.50,0.50
Chart-9 (1:10),-0.35,-0.00,-0.00,0.00,0.42
Chart-11 (2:0),0.50,0.50,0.50,0.50,-0.50
Chart-12 (0:1),0.50,0.50,-0.50,-0.50,0.50
Chart-13 (0:2),0.00,-0.50,-0.50,0.50,0.00
Chart-15 (0:4),0.00,-0.50,0.00,0.50,0.50
Chart-17 (0:1),-0.50,-0.50,-0.50,0.50,0.50
Chart-18 (0:1),-0.50,0.50,-0.50,0.50,0.50
Chart-20 (1:0),0.50,0.50,0.50,0.50,0.50
Chart-24 (3:0),-0.50,0.50,-0.50,0.50,-0.50
Chart-25 (0:13),0.00,-0.50,-0.50,0.50,-0.00
Chart-26 (0:2),0.50,0.50,0.00,0.50,0.50
Closure-10 (0:1),0.50,-0.50,-0.50,0.50,-0.50
Closure-13 (0:2),0.50,-0.50,-0.50,0.50,-0.50
Closure-14 (1:0),0.50,0.50,-0.50,-0.50,-0.50
Closure-19 (0:1),-0.50,-0.50,-0.50,0.50,-0.50
Closure-21 (0:3),-0.00,-0.50,0.50,0.50,0.00
Closure-22 (0:1),0.50,-0.50,0.50,0.50,-0.50
Closure-46 (3:5),0.07,-0.00,-0.00,0.75,-0.45
Closure-48 (0:1),-0.50,-0.50,-0.50,0.50,-0.50
Closure-57 (2:2),0.00,0.00,0.00,0.00,0.00
Closure-62 (3:12),0.07,-0.00,-0.00,-0.30,-0.08
Closure-73 (2:0),0.50,0.50,0.50,0.00,0.50
Closure-86 (1:0),0.50,0.50,0.50,-0.50,-0.50
Closure-115 (0:1),-0.50,-0.50,0.50,-0.50,0.50
Closure-126 (5:14),-0.39,-0.00,0.00,-0.09,0.00
Closure-129 (0:2),0.00,-0.50,-0.50,0.50,0.00
Lang-10 (0:3),0.50,-0.50,-0.50,0.50,-0.50
Lang-33 (3:2),0.17,0.00,0.00,-0.67,-0.41
Lang-43 (2:1),0.50,0.00,0.00,0.50,1.00
Lang-44 (0:4),-0.00,-0.50,-0.50,0.50,0.50
Lang-45 (0:1),0.50,-0.50,-0.50,0.50,-0.50
Lang-46 (0:1),-0.50,-0.50,0.50,-0.50,-0.50
