Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Chart-1 (5:35),0.00,-0.00,0.00,0.22,-0.00
Chart-4 (15:10),0.00,0.00,0.61,-0.00,0.41
Chart-7 (15:10),0.00,1.00,-0.00,-0.00,-0.00
Chart-8 (5:5),0.00,0.00,0.00,0.00,0.00
Chart-9 (15:10),0.00,0.00,0.00,-0.00,0.00
Chart-11 (15:5),-1.00,0.00,0.00,0.00,-0.00
Chart-12 (5:5),0.00,0.00,0.00,0.00,0.00
Chart-13 (0:25),-0.50,-0.50,-0.50,0.50,-0.50
Chart-20 (5:0),0.50,0.50,0.50,0.50,0.50
Chart-26 (30:5),0.00,0.00,-0.47,-0.00,0.00
Closure-10 (5:5),0.00,0.00,0.00,1.00,0.00
Closure-13 (15:0),0.50,0.50,0.50,-0.50,-0.50
Closure-57 (5:0),0.50,0.50,0.50,-0.50,-0.50
Closure-62 (5:5),0.00,0.00,0.00,0.00,0.00
Closure-73 (5:10),-0.00,-0.00,-0.00,0.00,0.00
Closure-86 (5:30),-0.00,-0.00,-0.00,0.00,0.00
Closure-115 (5:0),0.50,0.50,-0.50,0.50,-0.50
Lang-10 (5:0),0.50,0.50,0.50,0.50,-0.50
Lang-33 (5:45),-0.51,-0.00,-0.00,0.67,-0.41
Lang-43 (10:25),0.00,-0.00,-0.00,0.00,-0.26
Lang-45 (5:15),-0.00,-0.00,-0.00,0.00,1.00
Lang-51 (5:20),-0.41,-0.00,-0.00,0.00,-0.25
Lang-58 (0:5),-0.50,-0.50,-0.50,0.50,0.50
Lang-59 (5:10),0.00,-0.00,0.00,-0.50,-0.00
Math-2 (5:0),0.50,-0.50,0.50,0.50,-0.50
Math-8 (5:0),0.50,0.50,-0.50,0.50,-0.50
Math-11 (5:20),-0.00,-0.00,-0.00,-0.00,0.00
Math-28 (0:10),-0.50,-0.50,0.50,0.50,0.50
Math-30 (5:15),-0.00,-0.00,-0.00,0.00,0.00
Math-32 (0:20),-0.50,-0.50,0.50,0.50,-0.50
Math-34 (0:20),0.00,-0.50,-0.50,0.50,0.00
Math-41 (15:0),0.50,-0.50,0.50,-0.50,-0.50
Math-50 (5:15),-0.00,0.33,-0.00,0.00,-0.00
Math-53 (5:5),0.00,0.00,0.00,0.00,0.00
Math-57 (5:15),-0.00,-0.00,0.33,0.00,0.00
Math-58 (5:0),0.50,0.50,-0.50,0.50,-0.50
Math-59 (5:15),-0.00,-0.00,-0.00,-0.00,0.00
Math-69 (5:0),0.50,0.50,-0.50,0.50,0.50
Math-70 (10:0),0.50,0.50,0.50,0.50,0.50
Math-75 (5:0),0.50,0.50,0.50,-0.50,0.50
Math-79 (10:15),-0.00,-0.00,0.00,-0.00,0.00
Math-80 (5:5),0.00,0.00,0.00,0.00,0.00
Math-82 (5:5),0.00,0.00,0.00,0.00,0.00
Math-84 (0:10),-0.50,-0.50,0.50,0.50,0.50
Math-85 (10:30),-0.00,-0.22,0.00,0.00,-0.00
Math-95 (5:15),-0.00,0.58,-0.33,0.00,0.00
Math-101 (0:15),-0.50,-0.00,-0.50,0.50,-0.50
Mockito-29 (5:5),0.00,1.00,0.00,0.00,0.00
Mockito-38 (5:5),0.00,0.00,0.00,0.00,1.00
Time-7 (0:10),-0.50,-0.50,0.50,-0.50,0.00
Overall,0.01,0.06,0.04,0.13,-0.01
