Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness,RSB
Chart-1 (1:7),N/A,8.00,N/A,6.00,8.00,8.00
Chart-4 (3:2),3.00,3.00,2.00,N/A,1.00,3.00
Chart-7 (3:2),3.00,1.00,N/A,N/A,N/A,3.00
Chart-8 (1:1),2.00,2.00,2.00,2.00,N/A,2.00
Chart-9 (3:2),3.00,3.00,3.00,N/A,3.00,3.00
Chart-11 (3:1),N/A,2.00,2.00,2.00,N/A,2.00
Chart-12 (1:1),N/A,2.00,2.00,2.00,N/A,2.00
Chart-20 (1:0),1.00,1.00,1.00,1.00,1.00,1.00
Chart-26 (6:1),2.00,2.00,2.00,N/A,2.00,2.00
Closure-10 (1:1),N/A,2.00,2.00,1.00,N/A,2.00
Closure-13 (3:0),1.00,1.00,1.00,N/A,N/A,1.00
Closure-57 (1:0),1.00,1.00,1.00,N/A,N/A,1.00
Closure-62 (1:1),2.00,2.00,2.00,N/A,N/A,2.00
Closure-73 (1:2),3.00,3.00,3.00,N/A,N/A,3.00
Closure-86 (1:6),7.00,7.00,7.00,N/A,N/A,7.00
Closure-115 (1:0),1.00,1.00,N/A,1.00,N/A,1.00
Lang-10 (1:0),1.00,1.00,1.00,1.00,N/A,1.00
Lang-33 (1:9),N/A,10.00,10.00,2.00,N/A,10.00
Lang-43 (2:5),N/A,6.00,6.00,N/A,N/A,5.00
Lang-45 (1:3),4.00,4.00,4.00,N/A,1.00,4.00
Lang-51 (1:4),N/A,5.00,5.00,N/A,N/A,5.00
Lang-59 (1:2),N/A,3.00,N/A,N/A,3.00,3.00
Math-2 (1:0),1.00,N/A,1.00,1.00,N/A,1.00
Math-8 (1:0),1.00,1.00,N/A,1.00,N/A,1.00
Math-11 (1:4),5.00,5.00,5.00,5.00,N/A,5.00
Math-30 (1:3),4.00,4.00,4.00,N/A,N/A,4.00
Math-41 (3:0),1.00,N/A,1.00,N/A,N/A,1.00
Math-50 (1:3),4.00,3.00,4.00,N/A,4.00,4.00
Math-53 (1:1),2.00,N/A,2.00,2.00,N/A,2.00
Math-57 (1:3),4.00,4.00,3.00,N/A,N/A,4.00
Math-58 (1:0),1.00,1.00,N/A,1.00,N/A,1.00
Math-59 (1:3),4.00,4.00,4.00,4.00,N/A,4.00
Math-69 (1:0),1.00,1.00,N/A,1.00,1.00,1.00
Math-70 (2:0),1.00,1.00,1.00,1.00,1.00,1.00
Math-75 (1:0),1.00,1.00,1.00,N/A,1.00,1.00
Math-79 (2:3),4.00,4.00,N/A,4.00,N/A,4.00
Math-80 (1:1),N/A,2.00,2.00,N/A,N/A,2.00
Math-82 (1:1),N/A,2.00,N/A,2.00,N/A,2.00
Math-85 (2:6),7.00,N/A,N/A,N/A,7.00,6.00
Math-95 (1:3),4.00,2.00,N/A,N/A,N/A,4.00
Mockito-29 (1:1),2.00,1.00,2.00,N/A,N/A,2.00
Mockito-38 (1:1),2.00,2.00,2.00,N/A,1.00,2.00
Overall,2.59,2.84,2.84,2.11,2.62,2.93
