patch_name,correctness,prediction
Lang_33_TBar_Patch_280845_47_cp28.diff,correct,overfitting
Chart_11_Avatar_Patch_4534073_355.diff,correct,correct
Lang_59_Avatar_Patch_49998_12.diff,correct,correct
Math_59_Avatar_Patch_301850_15.diff,correct,correct
Math_89_TBar_Patch_98798_14_cp12.diff,correct,correct
Math_5_TBar_Patch_4138058_63_cp58.diff,correct,correct
Math_70_FixMiner_Patch_104934_23.diff,correct,correct
Chart_1_TBar_Patch_21045539_2722_cp1167.diff,correct,correct
Chart_24_TBar_Patch_83655_103_cp3.diff,correct,correct
Mockito_29_TBar_Patch_893152_100_cp45.diff,correct,correct
Mockito_29_Avatar_Patch_600940_73.diff,correct,correct
Chart_24_Avatar_Patch_40361_27.diff,correct,correct
Math_89_Avatar_Patch_47337_6.diff,correct,correct
Lang_57_FixMiner_Patch_70852_12.diff,correct,correct
Math_82_Avatar_Patch_6969131_1421.diff,correct,correct
Mockito_38_TBar_Patch_225053_31_cp12.diff,correct,correct
Lang_59_TBar_Patch_55338_4_cp4.diff,correct,correct
Math_34_FixMiner_Patch_274107_18.diff,correct,correct
Lang_57_Avatar_Patch_23805_2.diff,correct,correct
Math_11_TBar_Patch_5556207_178_cp85.diff,correct,correct
Lang_59_kPAR_Patch_34030_1_cp1.diff,correct,correct
Chart_1_Avatar_Patch_11273094_1566.diff,correct,correct
Lang_59_FixMiner_Patch_243478_103.diff,correct,correct
Time_7_Avatar_Patch_8852445_1134.diff,correct,correct
Math_70_TBar_Patch_255338_28_cp28.diff,correct,correct
Math_11_TBar_Patch_5683418_180_cp87.diff,correct,correct
Chart_11_FixMiner_Patch_2022695_348.diff,correct,correct
Math_11_TBar_Patch_5620098_179_cp86.diff,correct,correct
Time_7_kPAR_Patch_1598706_221_cp100.diff,correct,correct
Lang_57_FixMiner_Patch_59732_11.diff,correct,correct
Math_75_TBar_Patch_95496_20_cp10.diff,correct,correct
Lang_55_dynamoth_patch_135425_8.diff,correct,correct
Lang_57_TBar_Patch_198912_38_cp18.diff,correct,correct
Lang_55_dynamoth_patch_135422_6.diff,correct,correct
Chart_1_jMutRepair_patch_18000_39.diff,correct,correct
Chart_1_jMutRepair_patch_10000_34.diff,correct,correct
Lang_55_dynamoth_patch_135415_2.diff,correct,correct
Math_65_TBar_Patch_1866357_309_cp191.diff,correct,correct
Math_85_FixMiner_Patch_26879305_367.diff,correct,correct
Lang_55_dynamoth_patch_135412_1.diff,correct,correct
Chart_24_FixMiner_Patch_83379_29.diff,correct,correct
Time_7_TBar_Patch_13432881_2274_cp497.diff,correct,correct
Chart_11_TBar_Patch_2522058_225_cp174.diff,correct,correct
Chart_1_kPAR_Patch_5202641_833_cp285.diff,correct,correct
Lang_57_TBar_Patch_189085_37_cp17.diff,correct,correct
Lang_10_TBar_Patch_15315682_2027_cp731.diff,correct,correct
Mockito_38_TBar_Patch_211019_30_cp11.diff,correct,correct
Math_5_TBar_Patch_4069754_62_cp57.diff,correct,correct
Lang_55_dynamoth_patch_135419_4.diff,correct,correct
Math_85_TBar_Patch_9017293_950_cp710.diff,correct,correct
Mockito_38_Avatar_Patch_89137_10.diff,correct,correct
Math_58_TBar_Patch_1156375_100_cp56.diff,correct,correct
Math_85_jMutRepair_patch_92000_102.diff,correct,correct
Math_34_TBar_Patch_72268_1_cp1.diff,correct,correct
Math_85_TBar_Patch_9073149_957_cp717.diff,correct,correct
Math_89_kPAR_Patch_110348_12_cp11.diff,correct,correct
Closure_46_jGenProg_patch_8789000_17918.diff,correct,correct
Math_75_FixMiner_Patch_2367936_1362.diff,correct,correct
Mockito_38_TBar_Patch_181808_28_cp9.diff,correct,correct
Math_82_jMutRepair_patch_9000_37.diff,correct,correct
Math_82_TBar_Patch_13532544_2531_cp1209.diff,correct,correct
Lang_55_jKali_patch_117737_22.diff,overfitting,correct
Math_33_dynamoth_patch_252130_4.diff,overfitting,correct
Chart_7_jGenProg_patch_911000_9130.diff,overfitting,correct
Math_85_TBar_Patch_9365311_994_cp754.diff,overfitting,correct
Time_11_TBar_Patch_356943_60_cp22.diff,overfitting,overfitting
Mockito_29_TBar_Patch_622918_79_cp30.diff,overfitting,correct
Lang_55_dynamoth_patch_135428_10.diff,overfitting,correct
Chart_9_Nopol_patch_13381_1.diff,overfitting,correct
Chart_1_TBar_Patch_21231800_2735_cp1178.diff,overfitting,correct
Math_33_dynamoth_patch_252126_3.diff,overfitting,correct
Math_85_TBar_Patch_9207472_974_cp734.diff,overfitting,correct
Math_85_FixMiner_Patch_26947782_376.diff,overfitting,correct
Math_85_TBar_Patch_9112675_962_cp722.diff,overfitting,correct
Math_85_FixMiner_Patch_26978292_380.diff,overfitting,correct
Math_82_TBar_Patch_12425558_2387_cp1074.diff,overfitting,correct
Math_33_Avatar_Patch_20183856_987.diff,overfitting,correct
Math_58_dynamoth_patch_120646_10.diff,overfitting,correct
Math_33_Avatar_Patch_19656960_971.diff,overfitting,correct
Lang_59_jGenProg_patch_338815_2652.diff,overfitting,correct
Math_33_Avatar_Patch_17745736_909.diff,overfitting,correct
