id,tool,correctness,project,bug,base_dir,main_dep,tests_build,tests_src_dir,target_test,target_test_methods,target_class,input_class
Chart_9_TBar_Patch_381028_88_cp31.diff,TBar,Correct,Chart,9,Chart/9,build,build-tests,tests,org.jfree.data.time.junit.TimeSeriesTests,testBug1864222,org.jfree.data.time.TimeSeries,int
Math_89_TBar_Patch_98798_14_cp12.diff,TBar,Correct,Math,89,Math/89,target/classes,target/test-classes,src/test,org.apache.commons.math.stat.FrequencyTest,testAddNonComparable,org.apache.commons.math.stat.Frequency,int
Lang_33_SimFix_patch_141856_2.diff,SimFix,Correct,Lang,33,Lang/33,target/classes,target/test-classes,src/test,org.apache.commons.lang3.ClassUtilsTest,testToClass_object,org.apache.commons.lang3.ClassUtils,java.lang.String
Lang_10_TBar_Patch_15315682_2027_cp731.diff,TBar,Correct,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Math_57_TBar_Patch_16069683_237_cp137.diff,TBar,Correct,Math,57,Math/57,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testSmallDistances,org.apache.commons.math.stat.clustering.EuclideanIntegerPoint,int
Lang_57_FixMiner_Patch_70852_12.diff,FixMiner,Correct,Lang,57,Lang/57,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
Closure_46_TBar_Patch_298256_9_cp4.diff,TBar,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Chart_1_Avatar_Patch_11273094_1566.diff,Avatar,Correct,Chart,1,Chart/1,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
Closure_46_Avatar_Patch_571679_15.diff,Avatar,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Lang_57_FixMiner_Patch_59732_11.diff,FixMiner,Correct,Lang,57,Lang/57,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
