id,tool,correctness,project,bug,base_dir,main_dep,tests_build,tests_src_dir,target_test,target_test_methods,target_class,input_class
Chart_9_TBar_Patch_381028_88_cp31,TBar,Correct,Chart,9,Chart/9,build,build-tests,tests,org.jfree.data.time.junit.TimeSeriesTests,testBug1864222,org.jfree.data.time.TimeSeries,int
Math_89_TBar_Patch_98798_14_cp12,TBar,Correct,Math,89,Math/89,target/classes,target/test-classes,src/test,org.apache.commons.math.stat.FrequencyTest,testAddNonComparable,org.apache.commons.math.stat.Frequency,int
Lang_33_SimFix_patch_141856_2,SimFix,Correct,Lang,33,Lang/33,target/classes,target/test-classes,src/test,org.apache.commons.lang3.ClassUtilsTest,testToClass_object,org.apache.commons.lang3.ClassUtils,java.lang.String
Lang_10_TBar_Patch_15315682_2027_cp731,TBar,Correct,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Math_57_TBar_Patch_16069683_237_cp137,TBar,Correct,Math,57,Math/57,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testSmallDistances,org.apache.commons.math.stat.clustering.EuclideanIntegerPoint,int
Lang_57_FixMiner_Patch_70852_12,FixMiner,Correct,Lang,57,Lang/57,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
Closure_46_TBar_Patch_298256_9_cp4,TBar,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Chart_1_Avatar_Patch_11273094_1566,Avatar,Correct,Chart,1,Chart/1,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
Closure_46_Avatar_Patch_571679_15,Avatar,Correct,Closure,46,Closure/46,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
Lang_57_FixMiner_Patch_59732_11,FixMiner,Correct,Lang,57,Lang/57,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
Math_82_Avatar_Patch_6969131_1421,Avatar,Correct,Math,82,Math/82,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
Closure_62_Avatar_Patch_136255_1,Avatar,Correct,Closure,62,Closure/62,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
Chart_1_TBar_Patch_21045539_2722_cp1167,TBar,Correct,Chart,1,Chart/1,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
Closure_126_dynamoth_patch_78445_3,dynamoth,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Math_34_FixMiner_Patch_274107_18,FixMiner,Correct,Math,34,Math/34,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ListPopulationTest,testIterator,org.apache.commons.math3.genetics.ListPopulation,int
Math_82_TBar_Patch_13532544_2531_cp1209,TBar,Correct,Math,82,Math/82,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
Math_5_TBar_Patch_4138058_63_cp58,TBar,Correct,Math,5,Math/5,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
Time_7_kPAR_Patch_1598706_221_cp100,kPAR,Correct,Time,7,Time/7,target/classes,target/test-classes,src/test/java,org.joda.time.format.TestDateTimeFormatter,testParseInto_monthDay_feb29_newYork_startOfYear,org.joda.time.format.DateTimeParserBucket,int
Math_50_kPAR_Patch_3212488_112_cp91,kPAR,Correct,Math,50,Math/50,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
Chart_7_SimFix_patch_1414670_1,SimFix,Correct,Chart,7,Chart/7,build,build-tests,tests,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMaxMiddleIndex,org.jfree.data.time.TimePeriodValues,long
Lang_10_Avatar_Patch_16831934_2478,Avatar,Correct,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Closure_62_SimFix_patch_4083698_4,SimFix,Correct,Closure,62,Closure/62,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
Closure_126_jGenProg_patch_1668000_2546,jGenProg,Correct,Closure,126,Closure/126,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
Chart_4_TBar_Patch_12801465_2078_cp982,TBar,Correct,Chart,4,Chart/4,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
Time_7_SimFix_patch_878305_1,SimFix,Correct,Time,7,Time/7,target/classes,target/test-classes,src/test/java,org.joda.time.format.TestDateTimeFormatter,testParseInto_monthDay_feb29_newYork_startOfYear,org.joda.time.format.DateTimeParserBucket,int
Chart_8_TBar_Patch_23495_1_cp1,TBar,Correct,Chart,8,Chart/8,build,build-tests,tests,org.jfree.data.time.junit.WeekTests,testConstructor,org.jfree.data.time.junit.Week,java.lang.String
Math_59_Avatar_Patch_301850_15,Avatar,Correct,Math,59,Math/59,target/classes,target/test-classes,src/test/java,org.apache.commons.math.util.FastMathTest,testMinMaxFloat,org.apache.commons.math.util.FastMath,float
Math_70_FixMiner_Patch_104934_23,FixMiner,Correct,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
