id,tool,correctness,project,bug,base_dir,main_dep,tests_build,tests_src_dir,target_test,target_test_methods,target_class,input_class
Math_30_TBar_Patch_2559594_147_cp69,TBar,Incorrect,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Math_30_TBar_Patch_1978181_117_cp53,TBar,Incorrect,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Math_30_TBar_Patch_2194123_123_cp59,TBar,Incorrect,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Lang_51_TBar_Patch_3684579_439_cp345,TBar,Incorrect,Lang,51,Lang/51,target/classes,target/test-classes,src/test,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,org.apache.commons.lang.BooleanUtils,java.lang.String
Math_15_TBar_Patch_4576042_106_cp99,TBar,Incorrect,Math,15,Math/15,target/classes,target/test-classes,src/test,org.apache.commons.math3.util.FastMathTest,testMath904,org.apache.commons.math3.util.FastMath,double
Closure_129_jKali_patch_3000_4,jKali,Incorrect,Closure,129,Closure/129,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.IntegrationTest,testIssue937,com.google.javascript.jscomp.Compiler,java.lang.String
Math_62_kPAR_Patch_1851733_178_cp93,kPAR,Incorrect,Math,62,Math/62,target/classes,target/test-classes,src/test,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizerTest,testQuinticMin,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizer,double
Lang_10_Avatar_Patch_16831934_2478,Avatar,Correct,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Lang_10_TBar_Patch_26388257_2834_cp1207,TBar,Incorrect,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Math_70_SimFix_patch_45841_2,SimFix,Incorrect,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
Math_59_Avatar_Patch_301850_15,Avatar,Correct,Math,59,Math/59,target/classes,target/test-classes,src/test/java,org.apache.commons.math.util.FastMathTest,testMinMaxFloat,org.apache.commons.math.util.FastMath,float
Lang_51_dynamoth_patch_15045_2,dynamoth,Incorrect,Lang,51,Lang/51,target/classes,target/test-classes,src/test,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,org.apache.commons.lang.BooleanUtils,java.lang.String
Math_70_SimFix_patch_21251_1,SimFix,Correct,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
Chart_13_TBar_Patch_6731471_904_cp457,TBar,Incorrect,Chart,13,Chart/13,build,build-tests,tests,org.jfree.chart.block.junit.BorderArrangementTests,testSizingWithWidthConstraint,org.jfree.chart.block.BorderArrangement,double
Math_62_TBar_Patch_1119328_134_cp68,TBar,Incorrect,Math,62,Math/62,target/classes,target/test-classes,src/test,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizerTest,testQuinticMin,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizer,double
Math_5_TBar_Patch_4138058_63_cp58,TBar,Correct,Math,5,Math/5,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
Math_30_FixMiner_Patch_583143_112,FixMiner,Incorrect,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Lang_33_TBar_Patch_299663_49_cp30,TBar,Incorrect,Lang,33,Lang/33,target/classes,target/test-classes,src/test,org.apache.commons.lang3.ClassUtilsTest,testToClass_object,org.apache.commons.lang3.ClassUtils,java.lang.String
Closure_10_jMutRepair_patch_468000_294,jMutRepair,Incorrect,Closure,10,Closure/10,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.PeepholeFoldConstantsTest,testIssue821,com.google.javascript.rhino.Node,java.lang.String
Lang_51_jMutRepair_patch_19196_47,jMutRepair,Incorrect,Lang,51,Lang/51,target/classes,target/test-classes,src/test,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,org.apache.commons.lang.BooleanUtils,java.lang.String
Math_101_dynamoth_patch_20271_1,dynamoth,Incorrect,Math,101,Math/101,target/classes,target/test-classes,src/test/java,org.apache.commons.math.complex.ComplexFormatTest,testForgottenImaginaryCharacter,org.apache.commons.math.complex.ComplexFormat,java.lang.String
Chart_13_Nopol_patch_38818_4,Nopol,Incorrect,Chart,13,Chart/13,build,build-tests,tests,org.jfree.chart.block.junit.BorderArrangementTests,testSizingWithWidthConstraint,org.jfree.chart.block.BorderArrangement,double
Lang_51_dynamoth_patch_14511_1,dynamoth,Incorrect,Lang,51,Lang/51,target/classes,target/test-classes,src/test,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,org.apache.commons.lang.BooleanUtils,java.lang.String
Lang_10_Avatar_Patch_2818599_1236,Avatar,Incorrect,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Lang_10_TBar_Patch_15315682_2027_cp731,TBar,Correct,Lang,10,Lang/10,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
Lang_51_Nopol_patch_19291_2,Nopol,Incorrect,Lang,51,Lang/51,target/classes,target/test-classes,src/test,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,org.apache.commons.lang.BooleanUtils,java.lang.String
Math_5_TBar_Patch_4069754_62_cp57,TBar,Correct,Math,5,Math/5,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
Closure_2_TBar_Patch_4310468_112_cp55,TBar,Incorrect,Closure,2,Closure/2,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.TypeCheckTest,testBadInterfaceExtendsNonExistentInterfaces,com.google.javascript.jscomp.TypeCheck,java.lang.String
Lang_33_TBar_Patch_280845_47_cp28,TBar,Correct,Lang,33,Lang/33,target/classes,target/test-classes,src/test,org.apache.commons.lang3.ClassUtilsTest,testToClass_object,org.apache.commons.lang3.ClassUtils,java.lang.String
Math_30_TBar_Patch_1906900_115_cp51,TBar,Incorrect,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Closure_2_TBar_Patch_4235403_111_cp54,TBar,Incorrect,Closure,2,Closure/2,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.TypeCheckTest,testBadInterfaceExtendsNonExistentInterfaces,com.google.javascript.jscomp.TypeCheck,java.lang.String
Math_30_TBar_Patch_2523494_146_cp68,TBar,Correct,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Math_30_TBar_Patch_2230742_124_cp60,TBar,Incorrect,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Math_5_SimFix_patch_99356_1,SimFix,Correct,Math,5,Math/5,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
Math_59_SimFix_patch_64680_1,SimFix,Correct,Math,59,Math/59,target/classes,target/test-classes,src/test/java,org.apache.commons.math.util.FastMathTest,testMinMaxFloat,org.apache.commons.math.util.FastMath,float
Math_30_TBar_Patch_2595482_148_cp70,TBar,Correct,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Math_70_TBar_Patch_255338_28_cp28,TBar,Correct,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
Chart_11_FixMiner_Patch_2022695_348,FixMiner,Correct,Chart,11,Chart/11,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
Math_75_TBar_Patch_95496_20_cp10,TBar,Correct,Math,75,Math/75,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.FrequencyTest,testPcts,org.apache.commons.math.stat.Frequency,long
Chart_11_Avatar_Patch_4534073_355,Avatar,Correct,Chart,11,Chart/11,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
Math_63_SimFix_patch_65502_1,SimFix,Incorrect,Math,63,Math/63,target/classes,target/test-classes,src/test,org.apache.commons.math.util.MathUtilsTest,testArrayEquals,org.apache.commons.math.util.MathUtils,double
Chart_11_TBar_Patch_2522058_225_cp174,TBar,Correct,Chart,11,Chart/11,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
Math_70_FixMiner_Patch_104934_23,FixMiner,Correct,Math,70,Math/70,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
Lang_51_TBar_Patch_2980448_353_cp279,TBar,Incorrect,Lang,51,Lang/51,target/classes,target/test-classes,src/test,org.apache.commons.lang.BooleanUtilsTest,test_toBoolean_String,org.apache.commons.lang.BooleanUtils,java.lang.String
Math_62_kPAR_Patch_1281822_146_cp63,kPAR,Incorrect,Math,62,Math/62,target/classes,target/test-classes,src/test,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizerTest,testQuinticMin,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizer,double
Math_75_SimFix_patch_32270_1,SimFix,Correct,Math,75,Math/75,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.FrequencyTest,testPcts,org.apache.commons.math.stat.Frequency,long
Math_30_FixMiner_Patch_618966_113,FixMiner,Correct,Math,30,Math/30,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,double
Lang_6_TBar_Patch_13384450_1243_cp683,TBar,Correct,Lang,6,Lang/6,target/classes,target/tests,src/test/java,org.apache.commons.lang3.StringUtilsTest,testEscapeSurrogatePairs,org.apache.commons.lang3.text.translate.CharSequenceTranslator,java.lang.String
